,date,amount,number
0,2020-12-01,0,0
0,2020-12-01,368723.9083341449,16
0,2021-01-01,251384.25125569495,10
0,2021-02-01,222552.889834635,5
0,2021-03-01,686272.0154641499,12
0,2021-04-01,0.0,0
0,2021-05-01,292705.31740120496,25
0,2021-06-01,546672.3359072099,11
0,2021-07-01,384798.2464375049,17
0,2021-08-01,458766.9471084299,14
0,2021-09-01,626738.8718832149,12
0,2021-10-01,20931.7524117,1
0,2021-11-01,482552.66487976495,11
0,2021-12-01,632650.8654354599,20
0,2022-01-01,519064.28006656497,12
0,2022-02-01,78806.27118693,1
0,2022-03-01,307351.01587974,6
0,2022-04-01,517398.55770865496,16
0,2022-05-01,272796.92435463,6
0,2022-06-01,593018.5371749699,12
0,2022-07-01,72701.059212,1
0,2022-08-01,0.0,0
0,2022-09-01,0.0,0
0,2022-10-01,0.0,0
0,2022-11-01,46727.07501,1
0,2022-12-01,0.0,0
