,date,amount,number
0,2020-12-01,0,0
0,2020-12-01,-99947.973619285,2
0,2021-01-01,-15386.127791915002,4
0,2021-02-01,-164319.003129185,3
0,2021-03-01,-16538.625484225,2
0,2021-04-01,0.0,0
0,2021-05-01,-345905.828686345,13
0,2021-06-01,-266056.72773293004,7
0,2021-07-01,-239829.68968995,11
0,2021-08-01,-169893.81506783998,4
0,2021-09-01,-74887.20248557,2
0,2021-10-01,-78737.295995005,1
0,2021-11-01,-223990.802337705,5
0,2021-12-01,-187230.34939787502,4
0,2022-01-01,-14384.376202500001,2
0,2022-02-01,-21306.134000000002,1
0,2022-03-01,-192710.09537692,4
0,2022-04-01,-151188.66978876002,2
0,2022-05-01,-127458.190748155,2
0,2022-06-01,-34695.814730210004,2
0,2022-07-01,-27490.758325799998,1
0,2022-08-01,0.0,0
0,2022-09-01,0.0,0
0,2022-10-01,0.0,0
0,2022-11-01,-53163.67465599999,1
0,2022-12-01,0.0,0
