,date,aum
0,2020-12-01,1000000
0,2020-12-01,1000000.0
0,2021-01-01,1002551.0890050569
0,2021-02-01,1003709.6875114187
0,2021-03-01,997611.999326267
0,2021-04-01,1006432.3462755197
0,2021-05-01,986098.4118641104
0,2021-06-01,977437.9191524371
0,2021-07-01,977357.5883917472
0,2021-08-01,969754.554529027
0,2021-09-01,980182.2254897403
0,2021-10-01,996873.1357626469
0,2021-11-01,1011798.747762908
0,2021-12-01,1035069.9044275035
0,2022-01-01,1023016.566034115
0,2022-02-01,1020840.1802490999
0,2022-03-01,1027280.4979826564
0,2022-04-01,1024896.4506026858
0,2022-05-01,1027535.539970998
0,2022-06-01,1029375.9946043872
0,2022-07-01,1011319.0227818227
0,2022-08-01,1002185.3816436132
0,2022-09-01,1007381.0535559083
0,2022-10-01,1020888.0665134991
0,2022-11-01,983017.9319579434
0,2022-12-01,1018193.1292308638
