,date,amount,number
0,2020-12-01,0,0
0,2020-12-01,0,0
0,2021-01-01,0,0
0,2021-02-01,36321.13872470999,1
0,2021-03-01,100351.81696899,2
0,2021-04-01,26636.001231059996,1
0,2021-05-01,401066.36597359495,8
0,2021-06-01,0.0,0
0,2021-07-01,0.0,0
0,2021-08-01,100449.43525007999,2
0,2021-09-01,0.0,0
0,2021-10-01,86064.102115515,2
0,2021-11-01,16402.59911874,4
0,2021-12-01,152765.62526137498,3
0,2022-01-01,66645.74179068,1
0,2022-02-01,210879.36000982497,4
0,2022-03-01,625960.7393571149,15
0,2022-04-01,484819.1507056499,11
0,2022-05-01,369803.5708112551,22
0,2022-06-01,0.0,0
0,2022-07-01,478782.18898221,10
0,2022-08-01,34029.189851999996,1
0,2022-09-01,38904.09979429499,1
0,2022-10-01,147569.44944741,2
0,2022-11-01,334818.35084653494,5
0,2022-12-01,55452.19933874999,1
