,date,amount,number
0,2020-12-01,0,0
0,2020-12-01,0,0
0,2021-01-01,0,0
0,2021-02-01,-63389.716456275,1
0,2021-03-01,0.0,0
0,2021-04-01,-73078.57007962499,1
0,2021-05-01,0.0,0
0,2021-06-01,0.0,0
0,2021-07-01,0.0,0
0,2021-08-01,0.0,0
0,2021-09-01,0.0,0
0,2021-10-01,-113727.323188625,2
0,2021-11-01,-331221.287319505,4
0,2021-12-01,-146754.157698115,3
0,2022-01-01,-33475.42726255,1
0,2022-02-01,-89200.34175858999,2
0,2022-03-01,-184435.81470875998,7
0,2022-04-01,-244246.41386809,5
0,2022-05-01,-328025.40353004,8
0,2022-06-01,0.0,0
0,2022-07-01,-97163.28499247,2
0,2022-08-01,-65735.32007442,1
0,2022-09-01,-60887.37372088499,1
0,2022-10-01,-52814.170466460004,2
0,2022-11-01,-66134.500449885,3
0,2022-12-01,-44466.85936938,1
