,date,aum
0,2020-12-01,1000000
0,2020-12-01,986807.1088889936
0,2021-01-01,1000632.7061418912
0,2021-02-01,996081.190008418
0,2021-03-01,878726.2166321769
0,2021-04-01,918169.0689045003
0,2021-05-01,939723.8436034275
0,2021-06-01,918557.3642821029
0,2021-07-01,907566.309163615
0,2021-08-01,907324.6042645274
0,2021-09-01,888365.9076884271
0,2021-10-01,863007.0791592993
0,2021-11-01,905521.4794238089
0,2021-12-01,906439.7675441601
0,2022-01-01,880069.4208421614
0,2022-02-01,894709.6745832114
0,2022-03-01,908170.3024035766
0,2022-04-01,884055.4558110174
0,2022-05-01,860266.4492486264
0,2022-06-01,804348.0182793896
0,2022-07-01,807945.0890575519
0,2022-08-01,834356.2649577691
0,2022-09-01,809839.8681635201
0,2022-10-01,814859.7930920814
0,2022-11-01,791540.0687990864
0,2022-12-01,769684.8389889221
