,date,amount,number
0,2020-12-01,0,0
0,2020-12-01,389352.8402472,12
0,2021-01-01,673837.4206051348,13
0,2021-02-01,163853.50369768497,12
0,2021-03-01,477627.60719119495,14
0,2021-04-01,561536.986236435,13
0,2021-05-01,563397.68738709,12
0,2021-06-01,483430.91565862496,14
0,2021-07-01,741108.92786787,16
0,2021-08-01,430770.2527327349,15
0,2021-09-01,599280.6177034648,14
0,2021-10-01,673101.8451748799,15
0,2021-11-01,85853.68776495,11
0,2021-12-01,267142.50928437,13
0,2022-01-01,749069.6810943149,17
0,2022-02-01,275102.52032735996,13
0,2022-03-01,306150.02655648,14
0,2022-04-01,747357.2952628199,16
0,2022-05-01,207551.74975793995,14
0,2022-06-01,583301.3799381149,15
0,2022-07-01,503680.63619591994,16
0,2022-08-01,551047.5067895249,17
0,2022-09-01,401003.34450595494,13
0,2022-10-01,386098.89676063496,16
0,2022-11-01,189735.54435410997,12
0,2022-12-01,330668.501779275,18
