,date,amount,number
0,2020-12-01,0,0
0,2020-12-01,-531235.9255250549,8
0,2021-01-01,-335627.02637029,7
0,2021-02-01,-549662.4982979749,8
0,2021-03-01,-168132.96693392502,6
0,2021-04-01,-322227.33684354,7
0,2021-05-01,-322417.812862615,8
0,2021-06-01,-435575.917930805,6
0,2021-07-01,-187416.98319858,4
0,2021-08-01,-262633.04199188994,5
0,2021-09-01,-252044.10721939002,5
0,2021-10-01,-111985.53026787001,5
0,2021-11-01,-365930.520816725,9
0,2021-12-01,-443692.3962416351,7
0,2022-01-01,-113591.00693193999,3
0,2022-02-01,-310644.34103164496,7
0,2022-03-01,-449876.27263190504,6
0,2022-04-01,-421576.09221778496,4
0,2022-05-01,-247961.814723035,6
0,2022-06-01,-41594.346411859995,5
0,2022-07-01,-164787.77054304004,4
0,2022-08-01,-271001.9825323,3
0,2022-09-01,-369567.769455375,7
0,2022-10-01,-146232.478159335,4
0,2022-11-01,-461028.074806995,8
0,2022-12-01,-8606.91352427,2
